Company Name,Domain,Industry,Location,Headcount,Linkedin,Description,Company Type,Tags
Yaskawa America,yaskawa.com,Automation Machinery Manufacturing,"Waukegan, Illinois, United States",1001-5000,https://www.linkedin.com/company/yaskawaamericainc,"Yaskawa America is a leader in industrial automation, robotics, motion control, drives, and manufacturing solutions.",privately held,""
Deventer,deventer.nl,Government Administration,"Deventer, Netherlands",501-1000,https://www.linkedin.com/company/gemeente-deventer,"Deventer is a manufacturing company that specializes in industrial equipment, automation, and engineering solutions.",government agency,""
SCM Group,scmgroup.com,Machinery Manufacturing,"Rimini, Italy",1001-5000,https://www.linkedin.com/company/scm-group-spa,"SCM Group is a manufacturing company that specializes in woodworking machinery, industrial equipment, automation, and digital solutions.",privately held,""
Valmet,valmet.com,Machinery Manufacturing,"Espoo, Finland",10001+,https://www.linkedin.com/company/valmet,"Valmet is a provider of industrial machinery and manufacturing solutions, specializing in automation technology for the pulp and paper industry as well as the energy industry.",public company,""
AER Automation,aer-automation.com,Automation Machinery Manufacturing,"Cerdanyola del Vallès, Spain",1-10,https://www.linkedin.com/company/aer-automation,AER Automation is a company specializing in industrial automation and manufacturing solutions.,partnership,""
Dürr,durr.com,Machinery Manufacturing,"Bietigheim-Bissingen, Germany",10001+,https://www.linkedin.com/company/durrglobal,Dürr is a provider of industrial automation and manufacturing solutions specializing in engineering services for the automotive industry.,public company,""
Weidmüller Germany,weidmueller.com,Automation Machinery Manufacturing,"Detmold, Germany",1001-5000,https://www.linkedin.com/company/weidm%c3%bcller-interface-gmbh-%26-co.-kg,"Weidmüller Germany is a provider of industrial automation solutions and electrical engineering products, specializing in industrial connectivity.",public company,""
"Fuji Electric Co., Ltd.",fujielectric.com,"Appliances, Electrical, and Electronics Manufacturing","Tokyo, Japan",10001+,https://www.linkedin.com/company/fujielectric-com,"Fuji Electric Corp. of America is a provider of electrical equipment, industrial automation, energy management solutions, semiconductors, and factory automation systems.",public company,""
KEYENCE,keyence.com,Automation Machinery Manufacturing,"Osaka, Japan",10001+,https://www.linkedin.com/company/keyence,"KEYENCE is an industrial automation company that specializes in inspection systems, measurement equipment, sensors, and machine vision.",public company,""
Vention,ventionteams.com,IT Services and IT Consulting,"New York City, New York, United States",1001-5000,https://www.linkedin.com/company/ventionteams,Vention is a robotics company that specializes in automation solutions for manufacturing processes.,privately held,""
MNM,mnm.be,Media Production,"Brussels, Belgium",51-200,https://www.linkedin.com/company/mnmbe,"MNM is a manufacturing company specializing in engineering, industrial machinery, and automation solutions.",non profit,""
Distrelec,elfa.se,,"2 St, M23AA, Manchester, United Kingdom",,,"Distrelec is a distributor of electronic components and industrial supplies, specializing in automation technology.",,""
Schmalz,schmalz.com,Automation Machinery Manufacturing,"Glatten, Germany",1001-5000,https://www.linkedin.com/company/schmalz,Schmalz is a company that specializes in vacuum technology for industrial automation and material handling.,privately held,""
KVSA,kvsa.de,Hospitals and Health Care,"Magdeburg, Germany",51-200,https://www.linkedin.com/company/kassen%c3%a4rztliche-vereinigung-sachsen-anhalt,"KVSA is a manufacturing company that specializes in industrial equipment, automation, and engineering solutions.",,""
中轻长泰(长沙)智能科技股份有限公司,sinolight.cn,Wholesale,China,51-200,https://www.linkedin.com/company/%e4%b8%ad%e5%9b%bd%e8%bd%bb%e5%b7%a5%e9%9b%86%e5%9b%a2%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8,中轻长泰(长沙)智能科技股份有限公司 is an Industrial Automation company that provides smart solutions through intelligent technology.,,""
Zünd Systemtechnik,zund.com,Machinery Manufacturing,"Altstätten, Switzerland",201-500,https://www.linkedin.com/company/zund-systemtechnik-ag,Zünd Systemtechnik is an industrial machinery company that specializes in digital cutting systems and automation solutions.,public company,""
Weg,weg.de,"Appliances, Electrical, and Electronics Manufacturing","Jaraguá do Sul, Brazil",10001+,https://www.linkedin.com/company/weg,WEG is a manufacturing company that specializes in engineering and industrial automation solutions for the energy sector.,public company,""
KEBA Group,keba.com,Automation Machinery Manufacturing,"Linz, Austria",1001-5000,https://www.linkedin.com/company/keba-group,KEBA Group is a leading provider of automation solutions and industrial technology.,privately held,""
URC Automation,urc-automation.com,Computers and Electronics Manufacturing,"500 Mamaroneck Avenue, 10528, Harrison, New York, United States",51-200,https://www.linkedin.com/company/urcautomation,URC Automation is a provider of industrial automation solutions and manufacturing control systems.,privately held,""
Leuze,leuze.com,Automation Machinery Manufacturing,"Owen, Germany",1001-5000,https://www.linkedin.com/company/leuze,"Leuze is a provider of industrial automation solutions specializing in sensors, machine vision, and safety technology.",public company,""
SIMAI,simai.ru,IT Services and IT Consulting,Russian Federation,,https://www.linkedin.com/company/simai,SIMAI is a manufacturing company that specializes in industrial automation solutions and robotics.,,""
Aventics,aventics.com,Automation Machinery Manufacturing,"Kfar Yona, Israel",1-10,https://www.linkedin.com/company/kg-automation,AVENTICS is a pneumatics company that specializes in providing industrial automation solutions and components.,privately held,""
Biesse,biesse.com,Machinery Manufacturing,Nigeria,1001-5000,https://www.linkedin.com/company/biesse,Biesse is a manufacturer of woodworking machinery and industrial automation solutions.,public company,""
Kemppi,kemppi.com,,Germany,,https://www.linkedin.com/company/kemppi-oy,Kemppi is a provider of welding equipment and manufacturing technology.,,""
SEW Eurodrive,sew-eurodrive.de,Automation Machinery Manufacturing,"Bruchsal, Germany",10001+,https://www.linkedin.com/company/sew-eurodrive,SEW Eurodrive is a leading provider of drive technology and automation solutions.,privately held,""
Comau,comau.com,Automation Machinery Manufacturing,"Grugliasco, Italy",1001-5000,https://www.linkedin.com/company/comau,"Comau is an industrial automation company that provides robotics, manufacturing solutions, and engineering services.",privately held,""
キーエンス,keyence.co.jp,Retail,Japan,1001-5000,https://www.linkedin.com/company/%ef%bc%88%e6%a0%aa%ef%bc%89%e3%82%ad%e3%83%bc%e3%82%a8%e3%83%b3%e3%82%b9,"KEYENCE CORPORATION is a provider of industrial automation solutions specializing in sensors, machine vision, and measurement systems.",,""
Brooks Automation,brooks.com,Semiconductor Manufacturing,"Chelmsford, Massachusetts, United States",1001-5000,https://www.linkedin.com/company/brooks-automation,Brooks Automation is a provider of automation solutions and manufacturing equipment for the semiconductor and life sciences industries.,privately held,""
Efka.net,efka.net,Machinery Manufacturing,"Atlanta, Georgia, United States",1-10,https://www.linkedin.com/company/efka-of-america-inc,"Efka of America is a company in the automation technology industry that specializes in drive systems, control technology, and electric motor manufacturing.",,""
Fetch Robotics,fetchrobotics.com,,"2811 Orchard, 95134, San Jose, California, United States",,https://www.linkedin.com/company/fetch-robotics,Fetch Robotics is a Robotics company that offers a wide range of warehouse robots to enable automation in manufacturing and warehousing operations.,,""
EDCO,edcoinc.com,Machinery Manufacturing,"Frederick, Maryland, United States",51-200,https://www.linkedin.com/company/edcousa,EDCO is an industrial manufacturing company that specializes in providing industrial equipment and machinery solutions.,privately held,""
Weidmüller Germany,weidmueller.de,"Appliances, Electrical, and Electronics Manufacturing","Detmold, Germany",5001-10000,https://www.linkedin.com/company/weidmueller-group,Weidmüller Germany is a company in the electrical and industrial automation industry that provides engineering solutions for manufacturing.,public company,""
PMV,pmv.eu,Financial Services,"Brussels, Belgium",51-200,https://www.linkedin.com/company/pmv-eu,PMV is a provider of industrial machinery and manufacturing equipment with a focus on automation technology.,public company,""
LEMIS,lemis.com,,"11552, page, United States",,,"LEMIS is a manufacturing company that specializes in industrial equipment, automation, and control systems.",,""
DANMAR Machines B,danmarmachines.nl,Machinery Manufacturing,"Almelo, Netherlands",1-10,https://www.linkedin.com/company/danmar-machines,DANMAR Machines B is a manufacturing company that specializes in CNC machining and offers advanced technology for high-quality production capabilities.,privately held,""
西门子计算机科技(上海)有限公司北京分公司,cd-adapco.com,Information Technology and Services,China,,https://www.linkedin.com/company/%e8%a5%bf%e9%97%a8%e5%ad%90%e8%ae%a1%e7%ae%97%e6%9c%ba%e7%a7%91%e6%8a%80-%e4%b8%8a%e6%b5%b7-%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8%e5%8c%97%e4%ba%ac%e5%88%86%e5%85%ac%e5%8f%b8,"西门子计算机科技(上海)有限公司北京分公司 is a Computer Technology company that specializes in engineering software, automation, and digital solutions.",,""
Syntegon,syntegon.com,Industrial Machinery Manufacturing,"Waiblingen, Germany",5001-10000,https://www.linkedin.com/company/syntegon,"Syntegon is a packaging technology company that provides innovative solutions for the pharmaceutical and food industries, focusing on automation and efficiency.",privately held,""
Siemens,siemens.at,Executive Offices,"Vienna, Austria",,https://www.linkedin.com/company/siemens-%c3%b6sterreich,"Siemens is a global leader in industrial manufacturing, engineering, and technology solutions, specializing in energy, infrastructure, and automation.",,""
Амадо,amado-id.ru,,Russian Federation,,,Amado is a manufacturing company that specializes in industrial machinery and metalworking with a focus on automation technology.,,""
WEINIG Group,weinig.com,Machinery Manufacturing,"Tauberbischofsheim, Germany",1001-5000,https://www.linkedin.com/company/weinig-ag,"Michael Weinig is a manufacturer of woodworking machinery and automation technology, offering Industry 4.0 solutions.",public company,""
Dongfang Electronic Group,dongfang-china.com,Semiconductor Manufacturing,China,,https://www.linkedin.com/company/%e4%b8%9c%e6%96%b9%e7%94%b5%e5%ad%90%e9%9b%86%e5%9b%a2%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8,"Dongfang China is a manufacturing company that specializes in industrial equipment, machinery, and automation technology.",,""
Leister,leister.com,Machinery Manufacturing,,501-1000,https://www.linkedin.com/company/leisterworld,"Leister is a manufacturing company that specializes in premium plastic welding and process heat solutions, offering high-quality products recognized for their reliable performance.",privately held,""
Abicor Binzel,binzel-abicor.com,Machinery Manufacturing,Germany,1001-5000,https://www.linkedin.com/company/abicor-binzel,"Abicor Binzel is a welding solutions provider specializing in welding equipment, automation, and robotics.",public company,""
Schunk Group,schunk-group.com,Industrial Machinery Manufacturing,"Heuchelheim, Germany",5001-10000,https://www.linkedin.com/company/schunk-group,Schunk Group is a manufacturing company that specializes in industrial automation and engineering solutions.,privately held,""
金冠电气股份有限公司,nyjinguan.com,"Appliances, Electrical, and Electronics Manufacturing",Türkiye,501-1000,https://www.linkedin.com/company/%e5%8d%97%e9%98%b3%e9%87%91%e5%86%a0%e7%94%b5%e6%b0%94%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8,"金冠电气股份有限公司 is an electrical equipment manufacturing company that specializes in power distribution equipment, industrial automation, and energy solutions.",,""
Wintersteiger,wintersteiger.com,Machinery Manufacturing,"Ried im Innkreis, Austria",1001-5000,https://www.linkedin.com/company/wintersteiger,WINTERSTEIGER is a provider of agricultural equipment and precision machinery with a focus on automation technology.,public company,""
Igus,igus.de,Plastics Manufacturing,"Köln, Germany",1001-5000,https://www.linkedin.com/company/igusgmbh,Igus is a manufacturing company that specializes in plastic components and motion technology for industrial automation.,privately held,""
（株）豊田自動織機,toyota-shokki.co.jp,Machinery Manufacturing,Japan,10001+,https://www.linkedin.com/company/%ef%bc%88%e6%a0%aa%ef%bc%89%e8%b1%8a%e7%94%b0%e8%87%aa%e5%8b%95%e7%b9%94%e6%a9%9f,（株）豊田自動織機 is a manufacturing equipment company specializing in textile machinery and automation technology.,,""
Piab,piab.com,Automation Machinery Manufacturing,"Stockholm, Sweden",1001-5000,https://www.linkedin.com/company/piab,"Piab is a leader in industrial automation that specializes in vacuum technology for robotics, manufacturing, and material handling applications.",privately held,""
Mitsubishi Electric,mitsubishielectric.fr,"Appliances, Electrical, and Electronics Manufacturing","Tokyo, Japan",10001+,https://www.linkedin.com/company/mitsubishielectric,Mitsubishi Electric is an electronics company that specializes in manufacturing industrial automation and HVAC systems.,public company,""
Marcel,marcelww.com,Advertising Services,"Paris, France",201-500,https://www.linkedin.com/company/marcel-worldwide,Marcel is a manufacturing company that specializes in industrial automation technology.,privately held,""
DMG MORI,dmgmori.co.jp,Machinery Manufacturing,"Bielefeld, Germany",10001+,https://www.linkedin.com/company/dmgmori,DMG MORI is a manufacturing company that specializes in machine tools and industrial equipment with a focus on automation and precision engineering.,public company,""
Bonfiglioli,bonfiglioli.com,Industrial Machinery Manufacturing,"Calderara di Reno, Italy",1001-5000,https://www.linkedin.com/company/bonfiglioli-riduttori-spa,Bonfiglioli is an industrial machinery company that specializes in power transmission solutions through mechatronics and automation engineering.,privately held,""
（株）日立産機システム,hitachi-ies.co.jp,Retail,China,,https://www.linkedin.com/company/%ef%bc%88%e6%a0%aa%ef%bc%89%e6%97%a5%e7%ab%8b%e7%94%a3%e6%a9%9f%e3%82%b7%e3%82%b9%e3%83%86%e3%83%a0,（株）日立産機システム is a system integrator in the industrial machinery sector providing engineering solutions and automation services.,,""
Blue Ocean Robotics,blue-ocean-robotics.com,Automation Machinery Manufacturing,"Odense, Denmark",201-500,https://www.linkedin.com/company/blue-ocean-robotics,Blue Ocean Robotics is a robotics company that specializes in innovative automation technology.,partnership,""
ARM Institute,arminstitute.org,Non-profit Organizations,"Pittsburgh, Pennsylvania, United States",11-50,https://www.linkedin.com/company/arm-advanced-robotics-for-manufacturing,ARM Institute is a robotics and automation research organization focused on advancing technology in manufacturing.,non profit,""
Wonik Robotics(원익로보틱스),wonikrobotics.com,IT Services and IT Consulting,"Seongnam-si, South Korea",11-50,https://www.linkedin.com/company/wonikrobotics,Wonik Robotics is a robotics company that develops technology and price-competitive logistics robots and automation solutions to increase productivity in customer logistics.,privately held,""
Automate Show,automateshow.com,Automation Machinery Manufacturing,"Detroit, Michigan, United States",11-50,https://www.linkedin.com/company/automateshow,Automate is a technology company that specializes in automation and industrial solutions.,,""
Bfw,bfw.de,Professional Training and Coaching,Germany,1001-5000,https://www.linkedin.com/company/bfw-unternehmen-fuer-bildung,BFW is a machinery manufacturing company specializing in automation and engineering solutions.,non profit,""
SMC,smc.com,Automation Machinery Manufacturing,"Noblesville, Indiana, United States",10001+,https://www.linkedin.com/company/smc,SMC is a manufacturing company that specializes in industrial automation and engineering solutions.,public company,""
Yaskawa Motoman,motoman.com,Industrial Automation,"Miamisburg, Ohio, United States",501-1000,https://www.linkedin.com/company/motoman,Yaskawa Motoman is a provider of industrial robotics and automation solutions.,public company,""
ENGEL,engelglobal.com,Machinery Manufacturing,"Schwertberg, Austria",5001-10000,https://www.linkedin.com/company/engel-global,ENGEL is a manufacturing company that specializes in industrial machinery for plastics processing with a focus on automation.,privately held,""
Zeman Machines,zebau.com,Machinery Manufacturing,"Scheifling, Austria",51-200,https://www.linkedin.com/company/zeman-machines,"Zeman Machines is a manufacturing company that offers advanced automation solutions for diverse industrial applications, enhancing efficiency and productivity in the manufacturing sector.",public company,""
GOEBEL IMS,goebel-ims.com,Machinery Manufacturing,"Calcinate, Italy",201-500,https://www.linkedin.com/company/goebel-ims,GOEBEL IMS - Converting Ideas is a leading provider of converting machinery and industrial solutions with a focus on automation technology.,privately held,""
KHS Zlín,khszlin.cz,,"Zlín, Czechia",,https://www.linkedin.com/company/krajsk%c3%a1-hygienick%c3%a1-stanice-zl%c3%adn,"KHS Zlín is a manufacturing company that specializes in providing industrial equipment, machinery, automation, and production solutions.",,""
Fives,fivesgroup.com,Industrial Machinery Manufacturing,"Ronchin, France",201-500,https://www.linkedin.com/company/fives-ecl,"Fives is a company that provides industrial equipment, manufacturing solutions, automation, and engineering services.",privately held,""
AMT,amt.genova.it,Truck Transportation,"Genoa, Italy",1001-5000,https://www.linkedin.com/company/amt-genova,"AMT is a manufacturing company that specializes in industrial automation, robotics, and industrial machinery.",public company,""
BKT Elektronik,bkte.pl,Telecommunications,Poland,501-1000,https://www.linkedin.com/company/bkt-elektronik,BKT Elektronik is an electronics manufacturing company specializing in automation technology.,privately held,""
（一社）日本ロボット工業会,jara.jp,Non-profit Organizations,Japan,11-50,https://www.linkedin.com/company/%e4%b8%80%e8%88%ac%e7%a4%be%e5%9b%a3%e6%b3%95%e4%ba%ba%e6%97%a5%e6%9c%ac%e3%83%ad%e3%83%9c%e3%83%83%e3%83%88%e5%b7%a5%e6%a5%ad%e4%bc%9a,（一社）日本ロボット工業会 is a industry association that focuses on robotics and industrial automation within the manufacturing sector.,,""
Danieli,danieli.com,Industrial Machinery Manufacturing,"Buttrio, Italy",5001-10000,https://www.linkedin.com/company/danieli,Danieli Group is a steel industry company that specializes in providing industrial equipment and automation solutions for metal production.,public company,""
Hurco,hurco.com,Machinery Manufacturing,"Indianapolis, Indiana, United States",201-500,https://www.linkedin.com/company/hurco-companies-inc-,Hurco is a manufacturing technology company that provides CNC machinery and machining solutions.,public company,""
NBK America,nbk1560.com,Machinery Manufacturing,Japan,201-500,https://www.linkedin.com/company/%e9%8d%8b%e5%b1%8b%e3%83%90%e3%82%a4%e3%83%86%e3%83%83%e3%82%af%ef%bc%88%e6%a0%aa%ef%bc%89,NBK America is a manufacturing company that specializes in industrial automation components.,,""
ETA,eta.cz,,Czechia,,https://www.linkedin.com/company/eta-a-s,"ETA is a manufacturing company that specializes in industrial equipment, automation, and robotics.",privately held,""
DMG MORI,dmgmori.com,Machinery Manufacturing,"Hoffman Estates, Illinois, United States",501-1000,https://www.linkedin.com/company/dmgmoriusa,DMG MORI is a manufacturing company that offers a wide range of machine tools with a focus on automation and digitalization.,public company,""
Calw,calw.de,Government Administration,"Calw, Germany",501-1000,https://www.linkedin.com/company/stadt-calw,Calw is a manufacturing company that specializes in industrial equipment and machinery with a focus on automation.,government agency,""
Okuma America,okuma.com,Machinery Manufacturing,"Charlotte, North Carolina, United States",201-500,https://www.linkedin.com/company/okuma-america-corporation,Okuma America is a manufacturing technology company that specializes in advanced machinery for industry 4.0 and automation.,privately held,""
Sigma Robotics,sigmarobotics.com,Automation Machinery Manufacturing,"Chicago, Illinois, United States",51-200,https://www.linkedin.com/company/sigmarobotics,"SigmaDT Robotics is a robotics company that provides intelligent automated manufacturing systems and robotic solutions, transforming traditional manufacturing processes into fully automated, optimized, and flexible operations to create a competitive edge in the marketplace.",privately held,""
Reichenbacher Hamuel,reichenbacher.de,Machinery Manufacturing,Germany,201-500,https://www.linkedin.com/company/reichenbacher-hamuel-gmbh,Reichenbacher Hamuel is a machinery manufacturing company that specializes in industrial equipment and automation technology.,public company,""
BAADER,baader.com,Machinery Manufacturing,"Lübeck, Germany",1001-5000,https://www.linkedin.com/company/baader9,BAADER is a food processing equipment manufacturer that specializes in machinery automation and technology.,privately held,""
Bb Electric,bb-elec.com,Construction,"Lake Forest, California, United States",1-10,https://www.linkedin.com/company/bb-electric,B&B Electronics is a provider of industrial automation and networking solutions.,,""
Rollon,rollon.com,Automation Machinery Manufacturing,"Vimercate, Italy",501-1000,https://www.linkedin.com/company/rollonspa,Rollon is a provider of linear motion solutions and engineering solutions for industrial automation.,privately held,""
EMAG Group,emag.com,Machinery Manufacturing,"Salach, Germany",1001-5000,https://www.linkedin.com/company/emaggroup,"EMAG Gruppe is a manufacturing technology company that specializes in machinery, automation, and industry 4.0 solutions.",privately held,""
Robotron,robotron.de,Information Technology and Services,"Dresden, Germany",201-500,https://www.linkedin.com/company/robotron-datenbank-software-gmbh,Robotron is a company in the industrial technology sector that specializes in automation and robotics solutions.,privately held,""
P.R. Lang Maschinenfabrik GmbH,maschinenfabrik-lang.de,Machinery Manufacturing,"Nümbrecht, Germany",,https://www.linkedin.com/company/p.r.-lang-maschinenfabrik-gmbh,"P.R. Lang Maschinenfabrik GmbH is a machinery manufacturing company that specializes in Hülsenschneidmaschinen, Hülsensägen, Kurzrollautomaten, and automation technology.",,""
DPMP,dpmp.cz,,Czechia,,,DPMP is an Industrial Machinery company that specializes in manufacturing and automation solutions for production processes.,,""
Fortive,fortive.com,"Appliances, Electrical, and Electronics Manufacturing","Everett, Washington, United States",10001+,https://www.linkedin.com/company/fortive,"Fortive is an industrial technology company that provides manufacturing solutions including IoT, sensors, and automation.",public company,""
PHOENIX CONTACT,phoenixcontact.de,Automation Machinery Manufacturing,"Bad Pyrmont, Germany",201-500,https://www.linkedin.com/company/phoenix-contact-electronics,"PHOENIX CONTACT is a company in the electrical engineering industry that specializes in automation solutions, connectors, and control systems.",privately held,""
Saurer,saurer.com,Industrial Machinery Manufacturing,"Arbon, Switzerland",1001-5000,https://www.linkedin.com/company/saurer-group,Saurer is a manufacturer of textile machinery and industrial automation solutions for the manufacturing industry.,public company,""
Maschinenfabrik Berthold Hermle,hermle.de,Machinery Manufacturing,"Gosheim, Germany",1001-5000,https://www.linkedin.com/company/maschinenfabrik-berthold-hermle-ag,Maschinenfabrik Berthold Hermle is a machinery manufacturing company that specializes in machining technology.,public company,""
Misumi,misumi.co.jp,Investment Management,China,,https://www.linkedin.com/company/%ef%bc%88%e6%a0%aa%ef%bc%89%e3%83%9f%e3%82%b9%e3%83%9f%e3%82%b0%e3%83%ab%e3%83%bc%e3%83%97%e6%9c%ac%e7%a4%be,Misumi is a manufacturing company that specializes in industrial components and engineering solutions.,,""
Altra Industrial Motion,altramotion.com,"Appliances, Electrical, and Electronics Manufacturing","Braintree, Massachusetts, United States",5001-10000,https://www.linkedin.com/company/altra-industrial-motion,Altra Industrial Motion is an industrial manufacturing company that specializes in motion control and power transmission products.,public company,""
